altitude temperature precipitation sunshine
205.0 9.7 828.3 1552.0
46.0 8.2 791.5 1443.3
46.0 8.2 791.5 1445.0
46.0 8.2 791.5 1607.2
46.0 8.2 754.1 1443.3
46.0 8.2 754.1 1445.0
46.0 8.2 754.1 1607.2
46.0 8.2 544.0 1443.3
46.0 8.2 544.0 1445.0
46.0 8.2 544.0 1607.2
46.0 9.6 791.5 1443.3
46.0 9.6 791.5 1445.0
46.0 9.6 791.5 1607.2
46.0 9.6 754.1 1443.3
46.0 9.6 754.1 1445.0
46.0 9.6 754.1 1607.2
46.0 9.6 544.0 1443.3
46.0 9.6 544.0 1445.0
46.0 9.6 544.0 1607.2
46.0 8.1 791.5 1443.3
46.0 8.1 791.5 1445.0
46.0 8.1 791.5 1607.2
46.0 8.1 754.1 1443.3
46.0 8.1 754.1 1445.0
46.0 8.1 754.1 1607.2
46.0 8.1 544.0 1443.3
46.0 8.1 544.0 1445.0
46.0 8.1 544.0 1607.2
794.0 6.4 1057.8 1096.5
325.0 8.1 803.0 1571.7
500.0 6.2 1252.2 1368.0
500.0 6.2 1252.2 1355.6
500.0 6.2 1252.2 1323.0
500.0 6.2 879.3 1368.0
500.0 6.2 879.3 1355.6
500.0 6.2 879.3 1323.0
500.0 6.2 803.8 1368.0
500.0 6.2 803.8 1355.6
500.0 6.2 803.8 1323.0
500.0 6.8 1252.2 1368.0
500.0 6.8 1252.2 1355.6
500.0 6.8 1252.2 1323.0
500.0 6.8 879.3 1368.0
500.0 6.8 879.3 1355.6
500.0 6.8 879.3 1323.0
500.0 6.8 803.8 1368.0
500.0 6.8 803.8 1355.6
500.0 6.8 803.8 1323.0
500.0 7.2 1252.2 1368.0
500.0 7.2 1252.2 1355.6
500.0 7.2 1252.2 1323.0
500.0 7.2 879.3 1368.0
500.0 7.2 879.3 1355.6
500.0 7.2 879.3 1323.0
500.0 7.2 803.8 1368.0
500.0 7.2 803.8 1355.6
500.0 7.2 803.8 1323.0
215.0 9.4 585.6 1594.0
383.0 7.8 701.0 1590.5
54.0 8.3 532.1 1702.3
630.0 6.6 834.2 1432.6
413.0 8.3 721.9 1627.0
481.0 7.5 735.7 1642.1
481.0 7.5 735.7 1731.1
481.0 7.5 962.6 1642.1
481.0 7.5 962.6 1731.1
481.0 9.1 735.7 1642.1
481.0 9.1 735.7 1731.1
481.0 9.1 962.6 1642.1
481.0 9.1 962.6 1731.1
42.0 7.9 520.8 1805.3
42.0 7.9 520.8 1435.4
42.0 7.9 520.8 1482.9
42.0 7.9 713.9 1805.3
42.0 7.9 713.9 1435.4
42.0 7.9 713.9 1482.9
42.0 7.9 701.1 1805.3
42.0 7.9 701.1 1435.4
42.0 7.9 701.1 1482.9
42.0 8.7 520.8 1805.3
42.0 8.7 520.8 1435.4
42.0 8.7 520.8 1482.9
42.0 8.7 713.9 1805.3
42.0 8.7 713.9 1435.4
42.0 8.7 713.9 1482.9
42.0 8.7 701.1 1805.3
42.0 8.7 701.1 1435.4
42.0 8.7 701.1 1482.9
42.0 8.4 520.8 1805.3
42.0 8.4 520.8 1435.4
42.0 8.4 520.8 1482.9
42.0 8.4 713.9 1805.3
42.0 8.4 713.9 1435.4
42.0 8.4 713.9 1482.9
42.0 8.4 701.1 1805.3
42.0 8.4 701.1 1435.4
42.0 8.4 701.1 1482.9
242.0 8.4 1028.4 1432.1
242.0 8.4 1028.4 1254.0
242.0 8.4 756.0 1432.1
242.0 8.4 756.0 1254.0
242.0 7.7 1028.4 1432.1
242.0 7.7 1028.4 1254.0
242.0 7.7 756.0 1432.1
242.0 7.7 756.0 1254.0
164.0 8.5 417.1 1459.1
462.0 8.0 749.7 1691.8
560.0 7.6 902.0 1651.2
4.0 8.4 823.6 1455.5
4.0 8.4 823.6 1682.8
4.0 8.4 823.6 1635.0
4.0 8.4 823.6 1686.5
4.0 8.4 718.6 1455.5
4.0 8.4 718.6 1682.8
4.0 8.4 718.6 1635.0
4.0 8.4 718.6 1686.5
4.0 8.4 776.9 1455.5
4.0 8.4 776.9 1682.8
4.0 8.4 776.9 1635.0
4.0 8.4 776.9 1686.5
4.0 8.4 589.0 1455.5
4.0 8.4 589.0 1682.8
4.0 8.4 589.0 1635.0
4.0 8.4 589.0 1686.5
4.0 9.1 823.6 1455.5
4.0 9.1 823.6 1682.8
4.0 9.1 823.6 1635.0
4.0 9.1 823.6 1686.5
4.0 9.1 718.6 1455.5
4.0 9.1 718.6 1682.8
4.0 9.1 718.6 1635.0
4.0 9.1 718.6 1686.5
4.0 9.1 776.9 1455.5
4.0 9.1 776.9 1682.8
4.0 9.1 776.9 1635.0
4.0 9.1 776.9 1686.5
4.0 9.1 589.0 1455.5
4.0 9.1 589.0 1682.8
4.0 9.1 589.0 1635.0
4.0 9.1 589.0 1686.5
4.0 8.3 823.6 1455.5
4.0 8.3 823.6 1682.8
4.0 8.3 823.6 1635.0
4.0 8.3 823.6 1686.5
4.0 8.3 718.6 1455.5
4.0 8.3 718.6 1682.8
4.0 8.3 718.6 1635.0
4.0 8.3 718.6 1686.5
4.0 8.3 776.9 1455.5
4.0 8.3 776.9 1682.8
4.0 8.3 776.9 1635.0
4.0 8.3 776.9 1686.5
4.0 8.3 589.0 1455.5
4.0 8.3 589.0 1682.8
4.0 8.3 589.0 1635.0
4.0 8.3 589.0 1686.5
4.0 8.4 823.6 1455.5
4.0 8.4 823.6 1682.8
4.0 8.4 823.6 1635.0
4.0 8.4 823.6 1686.5
4.0 8.4 718.6 1455.5
4.0 8.4 718.6 1682.8
4.0 8.4 718.6 1635.0
4.0 8.4 718.6 1686.5
4.0 8.4 776.9 1455.5
4.0 8.4 776.9 1682.8
